timestamp,site_id,equipment_id,equipment_type,machine_state,energy_kwh,temperature_c,pressure_bar,flow_m3_h
2026-01-05T00:00:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.799,70.264,3.275,49.703
2026-01-05T00:15:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.567,69.439,3.212,46.267
2026-01-05T00:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,23.666,71.983,7.332,245.808
2026-01-05T00:45:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.524,72.753,3.245,45.755
2026-01-05T01:00:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.862,65.263,0.79,5.224
2026-01-05T01:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.542,72.536,7.425,217.198
2026-01-05T01:30:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.889,64.528,0.768,4.551
2026-01-05T01:45:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.735,67.44,3.35,43.695
2026-01-05T02:00:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.748,70.429,3.227,46.909
2026-01-05T02:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.936,73.034,7.019,221.75
2026-01-05T02:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.286,73.648,7.584,223.559
2026-01-05T02:45:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.787,72.986,3.306,47.922
2026-01-05T03:00:00,LILLE,LIL-CP-01,COMPRESSOR,MAINTENANCE,1.757,65.024,0.682,4.071
2026-01-05T03:15:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.927,67.509,0.704,4.817
2026-01-05T03:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,26.757,70.449,7.034,245.42
2026-01-05T03:45:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,25.371,70.776,7.18,238.617
2026-01-05T04:00:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.347,72.775,3.345,44.609
2026-01-05T04:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,25.719,71.96,7.275,231.932
2026-01-05T04:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,22.223,69.252,7.108,231.958
2026-01-05T04:45:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,25.767,71.935,7.762,225.873
2026-01-05T05:00:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,23.601,68.787,6.979,227.914
2026-01-05T05:15:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.811,71.447,2.932,47.635
2026-01-05T05:30:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.9,69.36,0.768,5.197
2026-01-05T05:45:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.834,69.737,0.698,4.491
2026-01-05T06:00:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.583,66.145,0.718,4.598
2026-01-05T06:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,27.288,72.607,7.593,215.012
2026-01-05T06:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,26.76,73.577,7.315,228.408
2026-01-05T06:45:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,9.173,71.496,3.247,44.8
2026-01-05T07:00:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,22.925,71.478,7.41,221.334
2026-01-05T07:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,21.741,71.146,7.275,239.476
2026-01-05T07:30:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.794,65.255,0.695,4.583
2026-01-05T07:45:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,22.992,74.448,7.225,238.048
2026-01-05T08:00:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,23.294,70.857,7.673,217.24
2026-01-05T08:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.161,75.203,7.234,235.973
2026-01-05T08:30:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,7.886,68.974,3.291,41.923
2026-01-05T08:45:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,25.254,73.312,6.913,235.96
2026-01-05T09:00:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,22.08,66.488,7.438,236.767
2026-01-05T09:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.703,70.753,7.315,241.673
2026-01-05T09:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,23.805,73.611,7.476,224.23
2026-01-05T09:45:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.246,69.79,3.486,45.98
2026-01-05T10:00:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,2.268,65.257,0.749,4.899
2026-01-05T10:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,23.593,72.437,6.594,253.028
2026-01-05T10:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.337,69.674,6.56,243.434
2026-01-05T10:45:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.621,65.902,0.744,4.808
2026-01-05T11:00:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,1.7,65.801,0.72,4.497
2026-01-05T11:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,21.182,71.924,7.603,254.455
2026-01-05T11:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.76,74.671,7.105,222.491
2026-01-05T11:45:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.835,70.967,6.868,221.056
2026-01-05T12:00:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,12.8,70.681,7.379,226.899
2026-01-05T12:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.103,74.163,7.085,221.439
2026-01-05T12:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.007,71.162,6.199,240.721
2026-01-05T12:45:00,LILLE,LIL-CP-01,COMPRESSOR,STOPPED,2.044,67.618,0.709,5.295
2026-01-05T13:00:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.751,68.612,3.374,49.645
2026-01-05T13:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,20.752,67.882,7.18,228.813
2026-01-05T13:30:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.173,72.951,3.305,45.538
2026-01-05T13:45:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,25.43,73.708,7.145,245.517
2026-01-05T14:00:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.587,74.934,7.171,243.266
2026-01-05T14:15:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.526,69.239,3.147,46.855
2026-01-05T14:30:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,24.271,68.952,7.164,248.856
2026-01-05T14:45:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,23.82,72.132,7.731,240.85
2026-01-05T15:00:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,7.483,68.874,3.176,45.355
2026-01-05T15:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,22.896,76.319,7.363,208.119
2026-01-05T15:30:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,8.495,71.541,3.42,48.409
2026-01-05T15:45:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,7.816,71.623,3.409,50.377
2026-01-05T16:00:00,LILLE,LIL-CP-01,COMPRESSOR,IDLE,9.309,69.429,3.261,45.651
2026-01-05T16:15:00,LILLE,LIL-CP-01,COMPRESSOR,RUNNING,22.357,76.341,7.385,208.252
