timestamp,site_id,equipment_id,equipment_type,machine_state,energy_kwh,temperature_c,pressure_bar,flow_m3_h,date,hour_of_day,is_running,energy_per_flow
2026-01-05 00:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,STOPPED,1.154,22.442,0.164,1.517,2026-01-05,0,False,0.7607119314436388
2026-01-05 00:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,15.567,28.484,1.845,85.615,2026-01-05,0,True,0.18182561467032649
2026-01-05 00:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.101,26.209,0.786,16.342,2026-01-05,0,False,0.312140496879207
2026-01-05 00:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.092,24.947,0.874,15.999,2026-01-05,0,False,0.3182698918682417
2026-01-05 01:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.424,26.523,0.794,16.08,2026-01-05,1,False,0.33731343283582094
2026-01-05 01:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,15.487,28.027,1.874,70.547,2026-01-05,1,True,0.21952740726040795
2026-01-05 01:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,4.772,26.037,0.727,16.774,2026-01-05,1,False,0.2844878979372839
2026-01-05 01:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.318,26.097,0.813,15.337,2026-01-05,1,False,0.3467431701114951
2026-01-05 02:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,14.469,27.881,1.686,81.746,2026-01-05,2,True,0.1769994862133927
2026-01-05 02:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,STOPPED,1.107,22.896,0.245,1.941,2026-01-05,2,False,0.5703245749613601
2026-01-05 02:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,STOPPED,0.951,23.953,0.257,1.724,2026-01-05,2,False,0.5516241299303944
2026-01-05 02:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.396,25.977,0.85,14.831,2026-01-05,2,False,0.3638325129795698
2026-01-05 03:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,15.984,27.996,1.723,86.0,2026-01-05,3,True,0.18586046511627907
2026-01-05 03:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,16.555,27.945,1.811,87.274,2026-01-05,3,True,0.18968994202167885
2026-01-05 03:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,4.957,26.991,0.79,15.643,2026-01-05,3,False,0.31688295084063156
2026-01-05 03:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,15.165,28.551,1.862,81.355,2026-01-05,3,True,0.1864052608936144
2026-01-05 04:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,14.228,27.821,1.783,76.831,2026-01-05,4,True,0.18518566724369068
2026-01-05 04:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,16.644,26.098,1.786,78.384,2026-01-05,4,True,0.21233925290875685
2026-01-05 04:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,MAINTENANCE,1.3,21.493,0.28,1.572,2026-01-05,4,False,0.8269720101781171
2026-01-05 04:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,15.455,27.525,1.768,72.709,2026-01-05,4,True,0.21255965561347287
2026-01-05 05:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,STOPPED,1.096,22.284,0.145,1.489,2026-01-05,5,False,0.7360644728005373
2026-01-05 05:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,13.782,28.354,1.823,78.791,2026-01-05,5,True,0.17491845515350737
2026-01-05 05:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.12,27.802,0.727,17.436,2026-01-05,5,False,0.29364533149805
2026-01-05 05:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,16.552,28.023,1.787,73.557,2026-01-05,5,True,0.22502277145614963
2026-01-05 06:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.098,25.37,0.867,16.383,2026-01-05,6,False,0.31117621925166333
2026-01-05 06:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,14.439,28.248,1.784,87.459,2026-01-05,6,True,0.16509450142352416
2026-01-05 06:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,13.974,27.489,1.734,80.338,2026-01-05,6,True,0.1739401030645523
2026-01-05 06:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.388,26.107,0.822,15.133,2026-01-05,6,False,0.3560430846494416
2026-01-05 07:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,15.608,27.293,1.981,80.043,2026-01-05,7,True,0.19499519008532912
2026-01-05 07:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,14.82,27.586,1.775,78.096,2026-01-05,7,True,0.18976644130301168
2026-01-05 07:30:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.181,27.124,0.81,16.771,2026-01-05,7,False,0.308926122473317
2026-01-05 07:45:00,ARRAS,ARR-PK-01,PACKAGING_LINE,IDLE,5.41,26.676,0.784,17.166,2026-01-05,7,False,0.3151578702085518
2026-01-05 08:00:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,14.215,26.914,1.882,80.031,2026-01-05,8,True,0.17761867276430382
2026-01-05 08:15:00,ARRAS,ARR-PK-01,PACKAGING_LINE,RUNNING,15.202,29.254,1.911,80.36,2026-01-05,8,True,0.18917371826779492
